Date,Time,Room,Temperature (°C),Humidity (%),Light (lux),Motion
23/2/2026,06:44:02,Bedroom,26.9,82.4,6.18,Not Detected
23/2/2026,06:42:59,Living Room,27,82.6,9.79,Not Detected
23/2/2026,06:42:58,Bedroom,26.9,82.4,6.18,Not Detected
23/2/2026,06:41:55,Living Room,27.1,82.5,9.99,Not Detected
23/2/2026,06:41:54,Bedroom,26.9,82.4,6.25,Not Detected
23/2/2026,06:40:59,Living Room,27.1,82.5,10.06,Not Detected
23/2/2026,06:40:58,Bedroom,26.9,82.4,6.2,Not Detected
23/2/2026,06:40:04,Living Room,27.1,82.5,10.04,Not Detected
23/2/2026,06:40:03,Bedroom,26.9,82.4,6.2,Not Detected
23/2/2026,06:38:59,Living Room,27.1,82.5,9.96,Not Detected
23/2/2026,06:38:58,Bedroom,26.9,82.4,6.18,Not Detected
23/2/2026,06:38:03,Bedroom,26.9,82.4,6.11,Not Detected
23/2/2026,06:37:55,Living Room,27.1,82.5,9.69,Not Detected
23/2/2026,06:36:59,Living Room,27.1,82.5,9.82,Not Detected
23/2/2026,06:36:58,Bedroom,26.9,82.4,6.2,Not Detected
23/2/2026,06:36:02,Living Room,27.1,82.5,9.89,Not Detected
23/2/2026,06:36:00,Bedroom,26.9,82.4,6.25,Not Detected
23/2/2026,06:34:57,Living Room,27.1,82.5,9.87,Not Detected
23/2/2026,06:34:55,Bedroom,26.9,82.4,6.15,Not Detected
23/2/2026,06:33:02,Bedroom,26.9,82.3,5.96,Not Detected
23/2/2026,06:32:54,Living Room,27.1,82.4,9.74,Not Detected
23/2/2026,06:30:59,Living Room,27.1,82.5,10.06,Not Detected
23/2/2026,06:30:57,Bedroom,26.9,82.4,6.25,Not Detected
23/2/2026,06:30:12,Living Room,27.1,82.5,9.72,Not Detected
23/2/2026,06:30:11,Bedroom,26.9,82.4,6.08,Not Detected
23/2/2026,06:28:55,Living Room,27.1,82.4,9.79,Not Detected
23/2/2026,06:28:54,Bedroom,26.9,82.4,6.15,Not Detected
23/2/2026,06:27:59,Living Room,27.1,82.4,9.74,Not Detected
23/2/2026,06:27:58,Bedroom,26.9,82.3,6.2,Not Detected
23/2/2026,06:27:02,Living Room,27.1,82.4,9.77,Not Detected
23/2/2026,06:27:01,Bedroom,26.9,82.4,6.08,Not Detected
23/2/2026,06:25:02,Living Room,27.1,82.4,9.77,Not Detected
23/2/2026,06:25:01,Bedroom,26.9,82.4,6.11,Not Detected
23/2/2026,06:23:57,Living Room,27.1,82.5,9.69,Not Detected
23/2/2026,06:23:56,Bedroom,26.9,82.3,6.18,Not Detected
23/2/2026,06:22:59,Living Room,27.1,82.5,9.77,Not Detected
23/2/2026,06:22:58,Bedroom,26.9,82.4,6.15,Not Detected
23/2/2026,06:21:56,Living Room,27.1,82.5,9.74,Not Detected
23/2/2026,06:21:54,Bedroom,26.9,82.3,6.13,Not Detected
23/2/2026,06:21:00,Living Room,27.1,82.4,9.67,Not Detected
23/2/2026,06:20:59,Bedroom,26.9,82.3,6.2,Not Detected
23/2/2026,06:20:05,Living Room,27.1,82.4,9.82,Not Detected
23/2/2026,06:20:03,Bedroom,26.9,82.3,6.08,Not Detected
23/2/2026,06:19:01,Living Room,27.1,82.4,9.82,Not Detected
23/2/2026,06:18:59,Bedroom,26.9,82.4,6.15,Not Detected
23/2/2026,06:17:56,Living Room,27.1,82.4,9.72,Not Detected
23/2/2026,06:17:55,Bedroom,26.9,82.4,6.13,Not Detected
23/2/2026,06:17:01,Living Room,27.1,82.4,9.99,Not Detected
23/2/2026,06:17:00,Bedroom,26.9,82.4,6.15,Not Detected
23/2/2026,06:15:57,Living Room,27.1,82.5,9.74,Not Detected
23/2/2026,06:15:56,Bedroom,26.9,82.4,6.18,Not Detected
23/2/2026,06:13:01,Bedroom,26.9,82.3,6.25,Not Detected
23/2/2026,06:12:53,Living Room,27.1,82.5,9.77,Not Detected
23/2/2026,06:11:57,Living Room,27.1,82.5,9.87,Not Detected
23/2/2026,06:11:56,Bedroom,26.9,82.4,6.23,Not Detected
23/2/2026,06:11:01,Bedroom,26.9,82.3,6.25,Not Detected
23/2/2026,06:10:53,Living Room,27.1,82.5,9.87,Not Detected
23/2/2026,06:10:07,Living Room,27.1,82.5,9.82,Not Detected
23/2/2026,06:10:06,Bedroom,26.9,82.4,6.06,Not Detected
